user_id,hour_0_wt,hour_1_wt,hour_2_wt,hour_3_wt,hour_4_wt,hour_5_wt,hour_6_wt,hour_7_wt,hour_8_wt,hour_9_wt,hour_10_wt,hour_11_wt,hour_12_wt,hour_13_wt,hour_14_wt,hour_15_wt,hour_16_wt,hour_17_wt,hour_18_wt,hour_19_wt,hour_20_wt,hour_21_wt,hour_22_wt,hour_23_wt,session_all_per_day,pid_exposed_all_per_day,pid_watch_all_per_day,coverage_per_2weeks,category_count_unique,age,gender,month_chronological_order,preds_3_label_criteria_label,preds_soft_label,watch_all_per_day_min,midnight_wt_min,morning_wt_min,noon_wt_min,afternoon_wt_min,evening_wt_min
31,38.5,794.3333333,90.66666667,0,0,0,0,0,197,1,122,0,3,0,0,0,532,2103.333333,1262,1487.5,1219,263,1256.5,308,2.4,154.1333333,75.66666667,7.5,186,20,F,1,Severely Addicted,Addicted,27,15,5,0,43,96
31,748.1428571,521.1666667,169.5,0,0,0,0,0,200.5,863.7142857,1104.357143,870.7894737,837.6923077,585.4166667,593.125,548.3333333,976.1818182,803.4545455,424.7272727,497.7692308,791,655.3636364,932,829,7.107142857,401.2,218.5357143,10,335,20,F,2,Severely Addicted,Addicted,83,23,50,23,48,68
31,491.3076923,897.2,901.3333333,0,0,0,0,67,0,548.5714286,613.3529412,1077.5625,509,435.3,153.3333333,442.6666667,733.8571429,1063.555556,974.9333333,953.125,699.2777778,517.0588235,1072,393.2,7.4,476.4666667,251.2,10,334,20,F,3,Severely Addicted,Addicted,82,38,38,15,39,76
31,0,0,308,0,378,678,0,317.4,1174,497,778.5833333,413.3529412,674.6666667,416.5,411.7272727,477.6363636,694.9375,566.4615385,536,547.75,184.9,211.4,439.3333333,554,7.071428571,308.8965517,164.4285714,9.666666667,295,20,F,4,Severely Addicted,Addicted,55,22,53,18,35,41
31,261,490.5,82.25,0,0,0,0,1279,0,307.75,461.3571429,193.8461538,53,50.33333333,369.5,582.1428571,357.875,167.8333333,569,669,490.5714286,80,721.8888889,966.875,4.48,190.1111111,104.24,9,233,20,F,5,Mildly Addicted,Addicted,33,13,37,1,24,58
31,459.8,1434,1182.5,0,0,0,0,291.2222222,0,733.25,343.4,320.3846154,507.375,586.25,875.4,294.8571429,715.5625,1036.615385,732,678.15,505.8666667,546.0588235,462.8181818,837.0909091,6.966666667,432.3,197.3,10,313,20,F,6,Non-Addicted,Non-Addicted,66,51,28,18,48,62
31,1231.5,789.6,140,0,0,0,0,330.6842105,162.3333333,260.6666667,194.7142857,298.6666667,1067,236.75,233.8888889,216.8333333,454.9411765,419.6923077,799.9285714,675.7619048,735.15,586.1052632,314.9473684,584,8.133333333,427.2,189.5666667,10,306,20,F,7,Non-Addicted,Non-Addicted,60,36,20,21,22,61
31,598.375,727.25,274,0,0,0,0,58,1663,294,324.5,254,0,60,213.75,109,51.5,65.75,60,266.6666667,418,152,334.6666667,190.3333333,3.529411765,141.55,59.23529412,6.666666667,166,20,F,8,Mildly Addicted,Addicted,18,26,43,1,7,23
31,94.25,0,0,0,0,0,0,115.5,0,146,707,0,321.5,2,0,661.3333333,278.3333333,1744,0,294,746,235,688.3333333,242.5,5.142857143,167.375,64.57142857,4,130,20,F,9,Severely Addicted,Addicted,25,1,16,5,44,36
31,33,0,41,0,0,0,0,0,0,0,0,6,573.5,59,1149.5,991,425,0,0,0,218,113,977,701,3,72.77777778,33.625,4.5,103,20,F,10,Non-Addicted,Non-Addicted,20,1,0,10,42,33
102,1160.352941,972.4444444,180.3333333,0,0,0,1.333333333,296,382.2,162.9,457.6923077,315.4166667,422.7333333,327.9166667,378.5714286,397.1,367.375,130,171.7272727,42.36363636,128.8,259.2727273,333.7142857,915.8181818,11.07692308,426.4285714,85.73076923,9.333333333,312,57,F,1,Severely Addicted,Addicted,63,38,26,12,21,30
19,939.6666667,1046.583333,1580.2,1404.8125,854.75,1033.666667,987.1666667,2401.923077,2264.666667,2398.363636,2491.1,2503.916667,2271.363636,1792.9,1750.75,739.3529412,1162,926,837.1666667,1405.222222,476,1066.285714,1374.722222,1111.1,9.28,1581.56,972.2,8.333333333,524,19,M,1,Severely Addicted,Addicted,279,114,217,67,76,104
102,521.1111111,0,0,0,0,373.3333333,372.6666667,313.625,317.5714286,248.8333333,447.8461538,298.5263158,287.1764706,401.0588235,819.2941176,417,274.0714286,159.8888889,535.6666667,442.5625,498.7058824,675.2666667,945.8636364,949.85,10.6,430.3,96.3,10,325,57,F,2,Severely Addicted,Addicted,76,14,33,11,27,67
19,899.8421053,1445.882353,1360.421053,1668.578947,1079.333333,890.1052632,1091.941176,1149.411765,1589.428571,1417.8,2364,1600.846154,2002,1624.9,2183.454545,1387.666667,1292,1570.5,1595.785714,1271.066667,1242.611111,1161.055556,1198.190476,736.4285714,10.53333333,2225,1359.5,10,591,19,M,2,Severely Addicted,Addicted,282,122,153,60,107,120
102,844.125,336.75,0,6,0,318.5,1,306.5,365.1111111,527.875,359.2857143,143.2857143,151.3,255.7777778,371.8333333,498.0833333,397.6923077,292.2,572.3333333,563.4545455,739,372.8571429,431.9333333,991.7647059,7.533333333,302.8,70.86666667,10,280,57,F,3,Severely Addicted,Addicted,50,25,28,6,25,61
19,1103.913043,1237.65,995.6666667,1351.052632,862.2941176,1142.888889,1161.777778,1882.555556,1562.307692,1916.25,1470.285714,1026.4,1695.333333,552,1263.1,420.3,873.7857143,1214.083333,1378.714286,1861.5,1248.545455,1444.590909,853.2777778,855.3333333,10.36666667,1577.5,973.3,10,555,19,M,3,Severely Addicted,Addicted,235,111,150,37,62,127
102,29.83333333,0,0,0,0,0,118.1818182,1.111111111,0,173,237,32.71428571,376,128.2727273,193.875,338.6666667,260.7272727,52.33333333,17.08333333,21.33333333,8.75,1,96.33333333,596,7.346153846,194.0714286,27.61538462,9.333333333,256,57,F,4,Non-Addicted,Non-Addicted,20,0,9,8,14,12
19,713.2307692,735.9166667,1017.909091,2021.894737,1343.764706,1662.428571,1377.25,1177.142857,1830.5,1084.166667,1877.6,1910,2363.3,1572.090909,1792,708,852,1419,1816,1064.333333,1225,1465.727273,1105.277778,779.1333333,9.857142857,1495.178571,913.6785714,9.333333333,527,19,M,4,Severely Addicted,Addicted,248,124,154,65,79,124
102,18.75,0,380,0,0,172.6666667,49.33333333,1.25,0,86,0,437.6666667,71.09090909,54.77777778,308.1428571,81.25,372.25,163.5,2.142857143,12.8,54.66666667,157.1111111,336.1666667,253.75,5.444444444,163.3928571,19.55555556,9.333333333,258,57,F,5,Severely Addicted,Addicted,13,9,9,2,15,13
19,990.25,663.0625,907.0416667,1446.076923,1378.357143,1255.066667,1651,1607.823529,1587.5,1348.764706,965,1170.375,751.3636364,474.6153846,856.4285714,638.9,540,499.8461538,740.4375,495.5882353,619.8,1215.8,884.45,508.7333333,12.57142857,983.8214286,580.8214286,9.333333333,449,19,M,5,Severely Addicted,Addicted,207,110,138,20,42,74
102,201.5,0,0,0,1031.5,121.5,11.625,21.5,235.6666667,281.25,179.1,190.2,40.25,186.4545455,199.75,67.3,108.75,187.9090909,70.72727273,1.545454545,98.91666667,86.77777778,250,178,8.206896552,230.8666667,24.62068966,10,298,57,F,6,Severely Addicted,Addicted,16,22,15,3,9,11
19,284.3333333,724.3333333,931.9047619,1261,1113.052632,1860.066667,1754.666667,1764.842105,1093.909091,1196,1781.333333,738,946.5454545,1377.73913,974.5,918.1428571,802.6428571,870.1176471,1289.736842,1046,1203.875,909.3529412,1037.888889,895.5,9.933333333,1121.766667,692.8333333,10,469,19,M,6,Severely Addicted,Addicted,212,102,138,38,59,106
102,315.5,2013,0,0,0,370,94.75,74.25,4.375,116.5833333,110.75,115,16,13.05,68,218.75,116,7.533333333,8.583333333,0.2,8.833333333,41,64.125,238.8666667,9.035714286,191.5333333,13.82142857,10,247,57,F,7,Severely Addicted,Addicted,11,44,8,0,6,6
19,601.2857143,772.9444444,735.4090909,679.5,667.7894737,807.5,826.047619,1354.222222,1782.666667,1288,1663.333333,0,1005.916667,1797.368421,512.2857143,1031.666667,765.5,581.4761905,909.5217391,1196.181818,865,551.7647059,427.6,485.875,12.66666667,1053.7,611.5333333,10,461,19,M,7,Severely Addicted,Addicted,178,71,115,46,48,73
102,261.75,0,0,0,0,445.5,53.45454545,0.2,28,166,233.8571429,31.71428571,0.857142857,91.375,41.55555556,132.6153846,217.7,13.5,20.5,0,0.666666667,0,74.875,119.5,8.421052632,193.6315789,12.42105263,6.333333333,202,57,F,8,Severely Addicted,Addicted,11,11,8,1,6,3
19,152.8571429,640,753.0769231,1068.764706,766.5833333,660.8461538,1216.866667,1662.692308,1854.769231,1603.333333,657.3333333,1755.333333,1160,841.4,1430.5,1196.142857,1113.444444,1582.8,1183.583333,854.9230769,1039.066667,816.6,168.8333333,216.5714286,11.14285714,1105.380952,668.7619048,7,437,19,M,8,Severely Addicted,Addicted,194,67,145,33,88,71
102,99.8,0,0,0,0,0,3,30,263,15.25,5.142857143,149.4,32.5,3.555555556,3.666666667,279.5,0,494,96.75,14,2.25,33,6.25,7.714285714,4.166666667,107.1111111,9.388888889,9,202,57,F,9,Non-Addicted,Non-Addicted,4,1,7,0,12,2
